Unnamed: 0,PickedData1
线性刻度,线性刻度
0.09728,2.328336115
0.09728,1.93731016
0.230826667,4.060022484
0.364373333,4.842074393
0.49792,5.09344822
0.631466667,5.03758737
0.765013333,4.897935243
0.89856,4.674491841
1.032106667,4.451048438
1.165653333,4.283465886
1.432746667,3.808648656
1.566293333,3.445553127
1.69984,3.026596748
1.966933333,2.216614413
2.10048,1.574214631
2.234026667,0.680441021
2.234026667,0.680441021
1.966933333,
2.10048,
2.234026667,
2.234026667,
1.966933333,
2.10048,
2.234026667,
1.566293333,
1.69984,
1.69984,
1.69984,
1.69984,
1.833386667,
1.966933333,
2.10048,
2.234026667,
2.234026667,
2.234026667,
2.234026667,
1.69984,
1.833386667,
1.966933333,
2.10048,
2.234026667,
1.69984,
1.69984,
1.69984,
1.833386667,
1.833386667,
1.966933333,
1.966933333,
2.10048,
2.10048,
2.234026667,
2.234026667,
2.367573333,
2.50112,
2.634666667,
2.234026667,
2.367573333,
2.367573333,
2.50112,
2.50112,
2.634666667,
2.634666667,
