Unnamed: 0,PickedData1
线性刻度,线性刻度
0.166256502,2.200252357
0.345915695,5.132041862
0.525574888,6.690714763
0.705234081,7.136049878
0.884893274,7.210272397
1.064552466,7.061827358
1.244211659,6.91338232
1.423870852,6.802048542
1.603530045,6.690714763
1.783189238,6.579380984
1.96284843,6.356713427
2.142507623,6.13404587
2.322166816,5.688710755
2.501826009,4.909374304
2.681485202,4.130037853
2.861144395,3.61048022
3.22046278,2.534253693
3.400121973,1.977584799
3.579781166,1.495138425
3.759440359,1.124025829
3.939099552,0.047799302
3.759440359,1.124025829
3.939099552,1.977584799
3.939099552,0.047799302
4.118758744,1.977584799
4.298417937,1.977584799
3.939099552,
4.118758744,
4.118758744,
4.298417937,
4.298417937,
4.298417937,
4.298417937,
3.22046278,
3.400121973,
3.579781166,
3.579781166,
3.579781166,
3.759440359,
3.759440359,
3.759440359,
3.939099552,
3.939099552,
3.939099552,
4.118758744,
4.118758744,
4.298417937,
4.298417937,
4.298417937,
3.579781166,
3.579781166,
3.759440359,
3.759440359,
3.759440359,
3.939099552,
3.939099552,
3.939099552,
4.118758744,
4.118758744,
4.298417937,
4.298417937,
3.939099552,
4.118758744,
4.118758744,
4.298417937,
4.298417937,
4.298417937,
3.939099552,
4.118758744,
4.118758744,
4.118758744,
4.298417937,
4.298417937,
4.298417937,
3.939099552,
3.939099552,
3.939099552,
4.118758744,
4.118758744,
4.118758744,
4.118758744,
4.298417937,
4.298417937,
4.298417937,
4.298417937,
4.298417937,
4.298417937,
4.298417937,
3.939099552,
3.939099552,
4.118758744,
4.118758744,
4.118758744,
4.118758744,
4.298417937,
4.298417937,
4.298417937,
4.298417937,
